id,imdb_id,genres,overview,poster_path,title,release_date,price
1,tt0110912,"Thriller,Crime","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0110912.jpg,Pulp Fiction,9/10/94,5
2,tt0111161,"Drama,Crime","Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0111161.jpg,The Shawshank Redemption,9/23/94,5
3,tt0083658,"Science Fiction,Drama,Thriller","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0083658.jpg,Blade Runner,6/25/82,5
4,tt0137523,Drama,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0137523.jpg,Fight Club,10/15/99,5
5,tt0468569,"Drama,Action,Crime","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0468569.jpg,The Dark Knight,7/16/08,5
6,tt0499549,"Action,Adventure,Fantasy","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0499549.jpg,Avatar,12/10/09,5
7,tt0848228,"Science Fiction,Action,Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt0848228.jpg,The Avengers,4/25/12,5
8,tt2582802,Drama,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2582802.jpg,Whiplash,10/10/14,5
9,tt2267998,"Mystery,Thriller,Drama","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2267998.jpg,Gone Girl,10/1/14,5
10,tt2103281,"Science Fiction,Action,Drama","A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2103281.jpg,Dawn of the Planet of the Apes,6/26/14,5
11,tt2015381,"Action,Science Fiction,Adventure","Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2015381.jpg,Guardians of the Galaxy,7/30/14,5
12,tt1790864,"Action,Mystery,Science Fiction","Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt1790864.jpg,The Maze Runner,9/10/14,5
13,tt2911666,"Action,Thriller",Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect,https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2911666.jpg,John Wick,10/22/14,5
14,tt2245084,"Adventure,Family,Animation","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt2245084.jpg,Big Hero 6,10/24/14,5
15,tt1951265,"Science Fiction,Adventure,Thriller",Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,https://raw.githubusercontent.com/votamvan/Movie-Recommendation/master/movie-posters/tt1951265.jpg,The Hunger Games: Mockingjay - Part 1,11/18/14,5
